JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2423543.200,7.86,,,Vis.,ZGB,,NA,,NA,"""A5V,V2B,A7V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423544.196,8.07,,,Vis.,ZGB,,NA,,NA,B3V7G,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423545.183,7.83,,,Vis.,ZGB,,NA,,NA,AVB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423545.190,7.95,,,Vis.,ZGB,,NA,,NA,"""VB,A6B,ABG""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423545.218,8.06,,,Vis.,ZGB,,NA,,NA,"""B1-2V,B1V9G,V7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423545.268,7.98,,,Vis.,ZGB,,NA,,NA,"""B1-2V,B1V9G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423546.202,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423546.231,7.99,,,Vis.,ZGB,,NA,,NA,"""B1V9G,B2V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423551.195,8.30,,,Vis.,ZGB,,NA,,NA,"""B9V1G,V3G,A5B7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423552.174,8.34,,,Vis.,ZGB,,NA,,NA,VG,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423552.220,8.17,,,Vis.,ZGB,,NA,,NA,"""B5V5G,B6V4G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423552.278,8.24,,,Vis.,ZGB,,NA,,NA,"""B7V3G,V5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423552.309,8.26,,,Vis.,ZGB,,NA,,NA,"""B8V2G,V5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423552.341,8.24,,,Vis.,ZGB,,NA,,NA,"""B7V3G,V5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423553.191,8.26,,,Vis.,ZGB,,NA,,NA,"""B7-8V3-2G,V3G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423553.249,8.25,,,Vis.,ZGB,,NA,,NA,"""B7-8V3-2G,V4G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423553.303,8.15,,,Vis.,ZGB,,NA,,NA,B5V5G,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423554.179,8.31,,,Vis.,ZGB,,NA,,NA,V1-2G,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423554.229,8.24,,,Vis.,ZGB,,NA,,NA,"""B7V3G,V5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423554.270,8.23,,,Vis.,ZGB,,NA,,NA,"""B7V3G,V5-6G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
