JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458860.52083,1.6,,,Vis.,PRUA,,1.6,1.7,X24958DVL,Unaided Eye,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458860.52865,1.6,,,Vis.,ARL,B,0.9,1.8,X25076AKL,,,,Z,,,,ALF ORI,,STD,,,,
2458860.54514,1.5,,,Vis.,FRTA,,09,17,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458860.56597,1.4,,,Vis.,RJG,,12,17,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458860.56944,1.5,,,Vis.,CAI,,12,16,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458860.59028,1.6,,,Vis.,ACN,,1.6,,X25030AU,VISDIG; Photo RGKA  5843 (Gam Ori=1.6),,,Z,,,,ALF ORI,REA,STD,,,,
2458860.60417,1.50,,,Vis.,ASA,,160,170,X25059AKB,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458860.61458,1.5,,,Vis.,CKB,,09,18,AAN690,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458860.62361,1.45,,,Vis.,RBK,B,1.9,1.7,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458860.78819,1.2,,,Vis.,RRIA,,1.2,,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.0021,1.4,,,Vis.,SRX,,0.9,1.6,n/a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.22431,1.5,,,Vis.,RMOA,B,zet Ori,bet Gem,X25077AJS,I am happy for this cooperation.,,,Z,,,,ALF ORI,,STD,,,,
2458861.24653,1.4,,,Vis.,CJEC,,12,17,ten star training pr,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458861.25417,1.4,,,Vis.,CMAE,,1.8,,X24980IV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.25694,1.5,,,Vis.,DMIB,K,1.0,1.6,Tycho2,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458861.2639,0.34,0.04,,R,CTIA,,000-BBJ-738,000-BBK-574,X25071BPL,Mag = average of 3 images      Mag Error = std error of the mean,1,1.8,Z,-15.45,-15.18,,ALF ORI,AAVSO,STD,,,,
2458861.2639,3.30,0.04,,B,CTIA,,000-BBJ-738,000-BBK-574,X25071BPL ,Mag = average of 3 images      Mag Error = std error of the mean,1,1.8,Z,-15.65,-16.00,,alf Ori,AAVSO,STD,,,,
2458861.2639,1.45,0.05,,V,CTIA,,000-BBJ-738,000-BBK-574,X25071BPL,Mag = average of 3 images      Mag Error = std error of the mean,1,1.8,Z,-15.39,-15.37,,alf Ori,AAVSO,STD,,,,
2458861.28125,1.4,,,Vis.,MJOE,,19,12,10 Stars,,,,Z,,,,ALF ORI,,STD,,,,
2458861.29444,1.4,,,Vis.,SDAV,B,1.8,0.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.3,1.4,,,Vis.,SPAO,U,09,19,2008,Clouds,,,Z,,,,alf Ori,UAI,STD,,,,
2458861.31597,1.4,,,Vis.,COV,,0.9,1.9,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.33125,1.55,,,Vis.,NMMA,,1.64,1.71,X25071AZ,gamma Ori and epsilon Ori,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458861.342762,1.57,0.036,,TG,RDAE,B,Ensemble,000-BBL-163,X25077BU,"""SOFT ASTROART 7.0 DSLR 55MM. f/4..Images 32 x 0.5s. Several stars of comparison chart 4.09 (+- 0.05), 4.120 (+- 0.01), 4.410 (+- 0.05), medium error checked +- 0.036.""",0,1.41,Z,n/c,4.36,,ALF ORI,AAVSO,STD,,,,
2458861.36806,1.5,,,Vis.,NAO,,.9,1.6,AAVSO Alert Notice 6,"""Naked eye, Petrozavodsk, Karelia, Russia""",,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458861.3722,1.46,,,Vis.,MJZ,,1.14,1.79,X25041LX,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2458861.37500,1.43,,,Vis.,PIV,B,Bellatrix,Pollux,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.38194,1.5,,,Vis.,MFB,,0.86,0.13,x26960JK,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458861.38194,1.5,,,Vis.,JADB,B,Bellatrix,Pollux,Skymap Pro,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458861.38889,1.4,,,Vis.,SDAV,,1.8,0.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.41944,1.6,,,Vis.,AJLA,K,0.8,2.0,UBA,I used a chart made by the Brazilian Astronomy Union.,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.42014,1.4,,,Vis.,BSIA,BUK,11,17,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.47917,1.4,,,Vis.,TYS,K,16,21,None,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.48264,1.3,,,Vis.,SBN,,08,41,X25076ATU,,,,Z,,,,ALF ORI,REA,STD,,,,
2458861.5,1.5,,,Vis.,BRJ,,11,16,SEE COMMETS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.51528,1.6,,,Vis.,ACN,,1.6,,X25030AU,"""VISDIG; Photo LARA 2439, Gam Ori (1.6) """,,,Z,,,,ALF ORI,REA,STD,,,,
2458861.55069,1.3,,,Vis.,MCOA,,12,17,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.5600,-3.050,0.034,,J,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
